Symbol,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17
ASML,5.33,5.33,5.36,5.36,5.35,5.35,5.38,5.37,6.79,7.39,7.54
ASO,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
ASTS,-0.23,-0.23,-0.26,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27
ATEX,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
AVAV,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AVGO,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
AXON,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.52
AXP,3.98,3.99,3.99,4.0,4.0,3.99,4.0,4.0,4.0,4.0,4.0
AYI,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
AZO,32.78,32.78,32.78,32.78,32.76,32.76,32.76,32.76,32.76,32.76,32.7
AZZ,1.57,1.57,1.57,1.57,1.52,1.44,1.44,1.44,1.44,1.44,1.44
BA,-1.0,-1.0,-0.96,-1.16,-1.29,-1.29,-1.54,-1.54,-1.84,-1.84,-1.84
BABA,9.09,9.09,9.09,9.09,8.27,7.97,7.18,6.85,6.85,6.65,6.65
BAC,0.94,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.99,0.97
BAH,1.53,1.53,1.53,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.51
BANR,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.41,1.44
BARK,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
BB,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
BBAI,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
BBY,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
BIDU,9.95,9.95,9.95,9.95,9.95,9.95,9.62,9.46,9.3,9.3,9.28
BILI,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.5,1.5,1.5
BILL,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
BJ,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
BK,1.77,1.77,1.76,1.76,1.76,1.77,1.77,1.77,1.77,1.86,1.97
BLK,11.76,11.66,11.53,11.39,11.36,11.32,11.33,11.34,13.03,12.94,12.94
BLNK,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
BLRX,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54
BNS,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
BOX,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
BROS,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
BRZE,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
BSEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSVN,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.05
BX,1.23,1.23,1.23,1.24,1.24,1.24,1.24,1.24,1.23,1.23,1.23
BYD,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.6
BYRN,0.05,0.05,0.05,0.05,0.05,0.11,0.11,0.11,0.11,0.11,0.11
C,1.83,1.81,1.8,1.76,1.74,1.73,1.72,1.72,1.78,1.78,1.78
CAL,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
CALM,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
CASY,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.17,5.16,5.16,5.16
CAT,4.58,4.58,4.57,4.54,4.54,4.54,4.54,4.53,4.54,4.54,4.54
CAVA,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
CBAT,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
CBRL,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65
CCL,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25
CCS,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
CELH,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.28
CGC,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
CGEN,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
CHGG,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
CHKP,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
CHPT,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31
CHWY,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
CIEN,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
CLF,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.45,-0.45,-0.45,-0.45
CLS,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.48,1.48,1.48
CMC,1.35,1.35,1.35,1.35,1.35,1.35,1.34,1.34,1.34,1.36,1.68
CMCO,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
CMG,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
CMTL,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44,-0.44
CNM,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
CNXC,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91
COF,4.29,4.29,4.33,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36
COIN,1.2,1.18,1.18,1.18,1.18,1.18,1.17,1.18,1.18,1.17,1.18
COP,1.48,1.53,1.52,1.52,1.51,1.5,1.49,1.48,1.5,1.49,1.46
COST,4.28,4.28,4.28,4.28,4.29,4.3,4.29,4.29,4.29,4.29,4.29
CPB,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.73,0.73
CPRT,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CRDO,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
CRM,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
CRMT,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
CRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRWD,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
CRWV,-0.36,-0.36,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
CSCO,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
CSWC,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
CSX,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.43
CTMX,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
CURV,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
CVGW,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
CVNA,1.34,1.34,1.25,1.25,1.25,1.25,1.26,1.26,1.26,1.26,1.26
CVS,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.37,1.37,1.37
CXM,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
CYBR,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
DAKT,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
DAL,1.53,1.52,1.52,1.52,1.66,1.75,1.71,1.71,1.71,1.72,1.72
DASH,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
DBI,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
DCI,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
DDOG,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
DE,3.92,3.92,3.92,3.92,3.91,3.91,3.91,3.89,3.89,3.89,3.89
DECK,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
DELL,2.47,2.47,2.47,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48
DG,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
DGX,2.5,2.5,2.5,2.5,2.51,2.51,2.51,2.51,2.51,2.51,2.51
DHI,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29
DHR,1.73,1.73,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72
DIBS,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
DIS,1.02,1.02,1.03,1.02,1.02,1.02,1.02,1.02,1.03,1.03,1.03
DKNG,-0.07,-0.06,-0.11,-0.11,-0.11,-0.13,-0.18,-0.18,-0.18,-0.21,-0.21
DKS,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74
DLTH,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46
DLTR,1.08,1.08,1.08,1.08,1.08,1.08,1.07,1.07,1.07,1.07,1.07
DOC,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
DOCS,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
DOCU,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
DOMO,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
DPZ,3.97,3.97,3.96,3.97,3.97,3.96,3.96,5.53,5.36,5.4,5.41
DRI,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
DSGX,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
DY,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
EGHT,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
EH,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
ELF,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
ENPH,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
EPAC,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.45,0.45
EQBK,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.14,1.21,1.2
ERIC,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.14,0.25,0.25,0.25
ESTA,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.51
ESTC,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58
ET,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
EXEL,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.66
F,0.35,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.35,0.35,0.35
FAST,0.3,0.3,0.3,0.3,0.3,0.3,0.27,0.26,0.26,0.25,0.25
FBK,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.08,1.1,1.11
FC,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
FCEL,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
FCX,0.39,0.39,0.39,0.4,0.41,0.41,0.41,0.41,0.4,0.4,0.4
FDS,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
FDX,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
FERG,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
FFIV,3.96,3.96,3.96,3.96,3.96,3.97,3.97,3.97,3.97,3.97,3.97
FITB,0.88,0.88,0.88,0.87,0.87,0.86,0.86,0.86,0.86,0.86,0.86
FIVE,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
FL,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
FLWS,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64
FNB,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.4
FOUR,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.5,1.5,1.5,1.5
FOXA,1.11,1.11,1.11,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
FR,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.4,0.41
FSLR,4.35,4.35,4.32,4.32,4.32,4.32,4.32,4.34,4.34,4.34,4.33
FUBO,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
FUL,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
GAMB,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.16,0.16,0.16,0.16
GAP,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
GBX,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
